experiment,path_family,session_id,trial,pair_id,raw_file,state_label,path_label,target_label,target_F_N,d_target_mm,d_preload_mm,preload_extra_mm,preload_hold_s,recovery_s,F_N,d_mm,Bx_uT,By_uT,Bz_uT,Bmag_uT,delta_Bx_from_B0_uT,delta_By_from_B0_uT,delta_Bz_from_B0_uT,summary_window_s,state_n_samples,state_duration_s,pair_delta_F_N,pair_delta_d_mm,pair_delta_Bvec_uT,pair_verdict,source_kind,source_state_csv,cycle_index,state_index,branch,path_mode,phase
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep1.csv,direct_target,direct_loading,240,,2.4,2.7,,,,1.9863,2.38,-555.924,5880.783,2196.391,6302.0847,-139.4664,2747.8211,1384.7941,10.0,113,9.913400000000003,-0.418,0.02,62.7936,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep1.csv,preload_deep,preload_deep,240,,2.4,2.7,,,,2.5999,2.69,-566.742,6412.669,2465.496,6893.8516,-150.2844,3279.7071,1653.8991,10.0,113,9.913,-0.418,0.02,62.7936,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep1.csv,return_target,return_unloading,240,,2.4,2.7,,,,1.5683,2.4,-557.126,5942.085,2209.943,6363.9269,-140.6684,2809.1231,1398.3461,10.0,113,9.912700000000001,-0.418,0.02,62.7936,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,2,2,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep2.csv,direct_target,direct_loading,240,,2.4,2.7,,,,2.1839,2.39,-561.333,6019.013,2387.088,6499.093150000001,-140.1243,2790.2025,1477.6094,10.0,114,9.994999999999997,-0.4324,0.0,64.5428,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,2,2,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep2.csv,preload_deep,preload_deep,240,,2.4,2.7,,,,2.9097,2.69,-569.748,6558.109,2678.456,7106.779549999999,-148.5393,3329.2985,1768.9774,10.0,114,9.993099999999998,-0.4324,0.0,64.5428,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,2,2,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep2.csv,return_target,return_unloading,240,,2.4,2.7,,,,1.7515,2.39,-561.333,6082.117,2400.64,6563.081,-140.1243,2853.3065,1491.1614,10.0,114,9.993000000000002,-0.4324,0.0,64.5428,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,3,3,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep3.csv,direct_target,direct_loading,240,,2.4,2.7,,,,2.24575,2.38,-555.323,6036.442,2491.632,6553.815500000001,-134.7044,2798.3356,1538.4174,10.0,114,9.9912,-0.43955,0.02,56.2102,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,3,3,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep3.csv,preload_deep,preload_deep,240,,2.4,2.7,,,,3.0063,2.68,-566.742,6561.117,2783.0,7149.26015,-146.1234,3323.0106,1829.7854,10.0,114,9.990400000000001,-0.43955,0.02,56.2102,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,3,3,decouple_data\session_20260610_091145\same_d_different_f_scan_A_240_rep3.csv,return_target,return_unloading,240,,2.4,2.7,,,,1.8062,2.4,-558.329,6092.035,2499.376,6607.7539,-137.7104,2853.9286,1546.1614,10.0,114,9.987700000000004,-0.43955,0.02,56.2102,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep1.csv,direct_target,direct_loading,260,,2.6,2.9,,,,2.7293,2.58,-558.929,6412.066,2783.0,7012.56205,-137.6711,3164.1292,1793.9816,10.0,114,9.989899999999999,-0.514,0.02,111.7655,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep1.csv,preload_deep,preload_deep,260,,2.6,2.9,,,,3.665,2.88,-565.54,7022.082,3135.351,7710.8856,-144.2821,3774.1452,2146.3326,10.0,114,9.990400000000001,-0.514,0.02,111.7655,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep1.csv,return_target,return_unloading,260,,2.6,2.9,,,,2.2153,2.6,-558.329,6520.247,2811.072,7122.3694,-137.0711,3272.3102,1822.0536,10.0,114,9.991399999999999,-0.514,0.02,111.7655,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,2,2,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep2.csv,direct_target,direct_loading,260,,2.6,2.9,,,,2.82015,2.59,-552.919,6475.773,2897.7075,7115.822700000001,-131.6772,3215.8418,1871.6715,10.0,114,9.990400000000001,-0.51525,0.02,105.3754,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,2,2,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep2.csv,preload_deep,preload_deep,260,,2.6,2.9,,,,3.835,2.89,-558.329,7076.773,3278.617,7819.385050000001,-137.0872,3816.8418,2252.581,10.0,114,9.9912,-0.51525,0.02,105.3754,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,2,2,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep2.csv,return_target,return_unloading,260,,2.6,2.9,,,,2.3049,2.61,-553.52,6574.336,2934.976,7220.6132,-132.2782,3314.4048,1908.94,10.0,114,9.9908,-0.51525,0.02,105.3754,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,3,3,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep3.csv,direct_target,direct_loading,260,,2.6,2.9,,,,2.87965,2.58,-554.122,6505.221,3002.735,7186.31905,-134.5479,3246.6735,1943.9481,10.0,114,9.9893,-0.52045,0.02,110.1997,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,3,3,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep3.csv,preload_deep,preload_deep,260,,2.6,2.9,,,,3.9299,2.88,-557.727,7103.816,3407.359,7898.305399999999,-138.1529,3845.2685,2348.5721,10.0,114,9.9896,-0.52045,0.02,110.1997,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,3,3,decouple_data\session_20260610_091145\same_d_different_f_scan_A_260_rep3.csv,return_target,return_unloading,260,,2.6,2.9,,,,2.3592,2.6,-553.52,6605.589,3048.231,7295.98295,-133.9459,3347.0415,1989.4441,10.0,114,9.988900000000001,-0.52045,0.02,110.1997,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep1.csv,direct_target,direct_loading,280,,2.8,3.1,,,,3.6304499999999997,2.78,-554.122,6954.168,3403.9719999999998,7762.04565,-134.9434,3693.0121,2312.299,10.0,114,9.990299999999998,-0.70565,0.02,99.1613,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep1.csv,preload_deep,preload_deep,280,,2.8,3.1,,,,4.8343,3.08,-556.525,7547.0555,3831.343,8481.97205,-137.3464,4285.899600000001,2739.67,10.0,114,9.988999999999997,-0.70565,0.02,99.1613,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,1,1,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep1.csv,return_target,return_unloading,280,,2.8,3.1,,,,2.9248,2.8,-553.52,7049.127,3432.527,7859.60775,-134.3414,3787.9711,2340.854,10.0,114,9.988199999999999,-0.70565,0.02,99.1613,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,2,2,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep2.csv,direct_target,direct_loading,280,,2.8,3.1,,,,3.6825,2.79,-551.116,6972.2,3513.3554999999997,7826.50655,-130.9745,3702.7653,2385.3873999999996,10.0,114,9.987300000000005,-0.6853,0.0,105.1615,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,2,2,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep2.csv,preload_deep,preload_deep,280,,2.8,3.1,,,,4.931900000000001,3.09,-551.717,7552.165,3952.343,8542.0644,-131.5755,4282.7303,2824.3749,10.0,114,9.9894,-0.6853,0.0,105.1615,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,2,2,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep2.csv,return_target,return_unloading,280,,2.8,3.1,,,,2.9972,2.79,-550.515,7070.162,3551.592,7930.89055,-130.3735,3800.7273,2423.6239,10.0,114,9.988500000000002,-0.6853,0.0,105.1615,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,3,3,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep3.csv,direct_target,direct_loading,280,,2.8,3.1,,,,3.7466999999999997,2.78,-545.106,6985.421,3612.576,7883.3117,-126.1467,3717.477,2462.8915,10.0,114,9.989399999999996,-0.6983,0.02,103.4123,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,3,3,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep3.csv,preload_deep,preload_deep,280,,2.8,3.1,,,,5.044700000000001,3.08,-545.106,7564.783,4061.727,8602.899949999999,-126.1467,4296.839,2912.0425,10.0,114,9.988900000000001,-0.6983,0.02,103.4123,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_091145,3,3,decouple_data\session_20260610_091145\same_d_different_f_scan_A_280_rep3.csv,return_target,return_unloading,280,,2.8,3.1,,,,3.0484,2.8,-544.505,7082.783,3647.424,7985.551149999999,-125.5457,3814.839,2497.7395,10.0,114,9.9897,-0.6983,0.02,103.4123,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep1.csv,direct_target,direct_loading,300,,3.0,3.3,,,,4.5593,2.98,-540.899,7645.32,4576.703,8926.9583,-107.2548,4256.1044,3203.8563,10.0,114,9.981900000000003,-0.81415,0.02,173.4518,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep1.csv,preload_deep,preload_deep,300,,3.0,3.3,,,,6.15055,3.28,-527.076,8279.375,5103.296,9740.09285,-93.4318,4890.1594,3730.4493,10.0,114,9.9832,-0.81415,0.02,173.4518,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep1.csv,return_target,return_unloading,300,,3.0,3.3,,,,3.7451499999999998,3.0,-539.096,7805.786,4642.528,9097.28955,-105.4518,4416.5704,3269.6813,10.0,114,9.9833,-0.81415,0.02,173.4518,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,2,2,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep2.csv,direct_target,direct_loading,300,,3.0,3.3,,,,4.4191,2.99,-534.889,7517.906,4555.408,8806.19585,-103.2884,4105.3817,3138.8589,10.0,114,9.984100000000005,-0.7939,0.0,149.6353,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,2,2,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep2.csv,preload_deep,preload_deep,300,,3.0,3.3,,,,5.9935,3.29,-520.465,8127.922,5075.223,9596.5525,-88.8644,4715.3977,3658.6739,10.0,113,9.9844,-0.7939,0.0,149.6353,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,2,2,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep2.csv,return_target,return_unloading,300,,3.0,3.3,,,,3.6252,2.99,-531.5835,7657.338,4609.616,8954.06665,-99.9829,4244.8137,3193.0669,10.0,114,9.983799999999995,-0.7939,0.0,149.6353,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,3,3,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep3.csv,direct_target,direct_loading,300,,3.0,3.3,,,,4.746,2.98,-525.874,7643.514,4728.679,9002.9104,-95.1968,4228.0921,3290.4236,10.0,114,9.983899999999998,-0.8171,0.02,155.3619,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,3,3,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep3.csv,preload_deep,preload_deep,300,,3.0,3.3,,,,6.428,3.28,-515.657,8242.712,5242.687,9782.0697,-84.9798,4827.2901,3804.4316,10.0,114,9.983699999999999,-0.8171,0.02,155.3619,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,3,3,decouple_data\session_20260610_104017\same_d_different_f_scan_B_300_rep3.csv,return_target,return_unloading,300,,3.0,3.3,,,,3.9289,3.0,-526.475,7790.159,4779.984,9154.8791,-95.7978,4374.7371,3341.7286,10.0,113,9.982499999999995,-0.8171,0.02,155.3619,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_320_rep1.csv,direct_target,direct_loading,320,,3.2,3.5,,,,5.5176,3.19,-517.7605000000001,7944.616,5029.728,9416.60145,-86.8643,4524.6585,3576.1871,10.0,114,9.9844,-0.973,0.02,188.3838,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_320_rep1.csv,preload_deep,preload_deep,320,,3.2,3.5,,,,7.466749999999999,3.48,-500.031,8609.92,5523.408,10242.3239,-69.1348,5189.9625,4069.8671,10.0,114,9.985299999999999,-0.973,0.02,188.3838,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,1,1,decouple_data\session_20260610_104017\same_d_different_f_scan_B_320_rep1.csv,return_target,return_unloading,320,,3.2,3.5,,,,4.5446,3.21,-514.456,8130.325,5061.1875,9590.6538,-83.5598,4710.3675,3607.6466,10.0,114,9.985600000000005,-0.973,0.02,188.3838,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,2,2,decouple_data\session_20260610_104017\same_d_different_f_scan_B_320_rep2.csv,direct_target,direct_loading,320,,3.2,3.5,,,,5.67535,3.19,-512.051,8018.538,5135.24,9535.603149999999,-78.391,4559.9939,3646.7873,10.0,114,9.985099999999996,-0.97265,0.01,200.5794,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,2,2,decouple_data\session_20260610_104017\same_d_different_f_scan_B_320_rep2.csv,preload_deep,preload_deep,320,,3.2,3.5,,,,7.7222,3.48,-491.016,8698.874,5625.047,10370.85835,-57.356,5240.3299,4136.5943,10.0,114,9.985699999999998,-0.97265,0.01,200.5794,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,2,2,decouple_data\session_20260610_104017\same_d_different_f_scan_B_320_rep2.csv,return_target,return_unloading,320,,3.2,3.5,,,,4.7027,3.2,-507.844,8215.671,5172.023,9722.45635,-74.184,4757.1269,3683.5703,10.0,114,9.985399999999998,-0.97265,0.01,200.5794,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,3,3,decouple_data\session_20260610_104017\same_d_different_f_scan_B_320_rep3.csv,direct_target,direct_loading,320,,3.2,3.5,,,,5.9149,3.19,-502.7355,8118.304,5233.976,9672.253499999999,-68.1344,4650.9741,3736.5184,10.0,114,9.984900000000003,-1.0079,0.0,205.1682,strong,,,,,,,
3.1 same-d/different-F work-zone scan,same_d_different_F,session_20260610_104017,3,3,decouple_data\session_20260610_104017\same_d_different_f_scan_B_320_rep3.csv,preload_deep,preload_deep,320,,3.2,3.5,,,,8.08135,3.49,-482.001,8816.064,5701.52,10510.6212,-47.3999,5348.7341,4204.0624,10.0,114,9.984499999999997,-1.0079,0.0,205.1682,strong,,,,,,,
